discription,name_author,picture,price,rattings,role,sub_title,tag_product,title,type_product,url
"""Its the 2070s, and mankind has conquered space, making interplanetary travel possible and igniting the imaginations of the world. Its also vastly increased the amount of dangerous space debris, and someone has to clean it up. Hachimaki, Yuri, and Fee are a crew on that beat, each with their own goals, tendencies, and personal problems- Hachimaki dreams of deep-space exploration in his own ship, Yuri is still recovering from the death of his wife in an accident caused by orbiting debris, and Fee is secretive, but theres a lot going on under the surface!"", ""Just trying to do their jobs in an age of space-age environmental concerns and new vistas of exploration, the crew deals with Hachis fear of isolation hampering his hopes of joining an upcoming Jupiter mission, keep an eye on the wreckage for signs of Yuris lost wife, and become unwitting heroes when the only place Fee can still smoke is threatened by terrorists! Dark Horse Manga is proud to present Makoto Yukimuras award-winning hard sci-fi epic Planetes in two omnibus-sized editions, complete with bonus color pages never before seen in America!""",Makoto Yukimura,,,394.0,Author,Paperback – 15 January 2016,,Planetes Omnibus Volume 1,Manga,https://www.amazon.com.au//Planetes-Omnibus-1-Makoto-Yukimura/dp/1616559217/ref=sr_1_61?qid=1690094881&s=books&sr=1-61
"Now a hit anime! The new action fantasy set in a steampunk Tokyo from the creator of the smash hit , Soul Eater, !, DOOMSDAY APPROACHES, ""The turn of Amaterasus key marks the beginning of the Great Cataclysm and the worlds destruction. In the absence of Shinra and the other pillars, Company 8 holds a defensive line at Amaterasu, while the White Clad cults onslaught continues unabated. Charon stakes his own life on one final release of power. Will his ultimate attack advance the doomsday clock further still? If the purifying flames of the apocalypse are fueled by despair, maybe hope is the very thing to save the world...""",Atsushi Ohkubo,,17.7,51.0,Author,Paperback – 7 February 2023,,Fire Force 29,Manga,https://www.amazon.com.au//Fire-Force-29-Atsushi-Ohkubo/dp/1646515218/ref=sr_1_164?qid=1690094898&s=books&sr=1-164
"It’s just an everyday apocalypse., Three years ago the aliens invaded Tokyo. Nothing was ever the same again. But after a while, even impending doom starts to feel ordinary.\xa0, Wow, it’s the end of the world! Everyone is so screwed…",Inio Asano,,17.7,63.0,Author,Paperback – 19 October 2022,,"Dead Dead Demon's Dededede Destruction, Vol. 11 (Volume 11)",Manga,https://www.amazon.com.au//Dead-Demons-Dededede-Destruction-Vol/dp/1974730107/ref=sr_1_53?qid=1690094881&s=books&sr=1-53
"Contains the FINAL VOLUMES of Attack on Titan in an extra-large size, on premium-quality paper!, 16 and up., END OF AN ERA,  , ""Determined to protect his beloved home of Paradis, Eren uses the Founding Titans power to rouse a parade of massive Titans from their centuries-long slumber, breaking free of the Walls to answer their founders call-to wipe out all of humanity. Though once hailed as humanitys greatest hope, the Attack Titan has now morphed into a grotesque, colossal skeleton of its former self, with Eren long unrecognizable as a friend, a brother, a savior...and soon indiscernible from a devil. Now, Mikasa, Armin, and the surviving members of the Survey Corps must band together with their sworn enemies to stop the Rumbling and Eren once and for all. Will their attack finally put an end to the Titans, or will the cycle of fear, oppression, and destruction only continue?"",  , FINAL VOLUME!,  , This edition contains , Attack on Titan,  Vol. 31-34,  , Attack on Titan- Colossal Edition 7,  is an oversized collection of Vols. 31-34 of the , Attack on Titan, "" manga series. Weighing in at over 900 pages and a 7-inch by 10.5-inch trim, Colossal Edition 7, like its predecessors, contains the same material as the original volumes, but bigger and on higher-quality paper. The best reading experience and the ultimate collectors item for any "", Attack on Titan,  fan!",HAJIME ISAYAMA,,,119.0,Author,Paperback – 7 February 2023,,Attack on Titan Colossal Edition 7: Colossal Edition 7,Manga,https://www.amazon.com.au//Attack-Titan-Colossal-Hajime-Isayama/dp/164651565X/ref=sr_1_57?qid=1690094881&s=books&sr=1-57
"A post-apocalyptic story of survival in a surreal prison built in the ruins of Tokyo., Framed for the brutal murders of his classmates by the mysterious Red Man, middle school student Ganta Igarashi finds himself sentenced to death and sent to the bizarre and fatal theme park/prison that has risen from the ruins of the Great Tokyo Earthquake—a hell on earth known as “Deadman Wonderland.”, Despite the loss of their leader, Scar Chain manages to defeat the Undertakers and escape, but Ganta and Shiro stay to fight on. Tamaki, the insane mastermind of Deadman Wonderland, initiates his next plan—the development and deployment of the Ninben, artificially created Deadmen—and Ganta’s friend Azami is one of his first test subjects!",Jinsei Kataoka,,11.55,477.0,"Author,",Paperback – 9 December 2014,,"Deadman Wonderland, Vol. 6 (Volume 6)",Manga,https://www.amazon.com.au//Deadman-Wonderland-Vol-Kazuma-Kondou/dp/1421564149/ref=sr_1_50?qid=1690094881&s=books&sr=1-50
,Kaiu Shirai,,10.5,2677.0,"Author,",Kindle & comiXology,,"The Promised Neverland, Vol. 5: Escape",Comics & Graphic Novels,https://www.amazon.com.au//Promised-Neverland-Vol-Escape-ebook/dp/B07F2VVYZC/ref=sr_1_54?qid=1690094881&s=books&sr=1-54
"An action-packed thriller and source of the hit Netflix drama where the only way to survive is to play the game!, Eighteen-year-old Ryohei Arisu is sick of his life. School sucks, his love life is a joke, and his future\xa0weighs on him\xa0like impending doom. As he struggles to exist in a world that can’t be bothered with him, Ryohei feels like everything would be better if he were anywhere else. When a strange fireworks show transports him and his friends to a parallel world, Ryohei thinks all his wishes have come true. But this new world isn’t an empty paradise, it’s a vicious game. And the only way to survive is to play., Most of the Face Card games continue to be a deadly challenge to Borderland’s visitors, their often complicated or confusing rules meant to trick players into dooming themselves. In contrast, the King of Spades’ game is refreshingly direct—kill or be killed! Can an uneasy coalition of visitors band together to take down the sniper King before his bullets declare game over for everyone?",Haro Aso,,22.49,,Author,Paperback – 29 November 2023,,"Alice in Borderland, Vol. 7 (Volume 7)",Manga,https://www.amazon.com.au//Alice-Borderland-Vol-7/dp/1974728609/ref=sr_1_56?qid=1690094881&s=books&sr=1-56
"""Welcome to Neo-Tokyo, built on the ashes of a Tokyo annihilated by a blast of unknown origin that triggered World War III. The lives of two streetwise teenage friends, Tetsuo and Kaneda, change forever when paranormal abilities begin to waken in Tetsuo, making him a target for a shadowy agency that will stop at nothing to prevent another catastrophe like the one that leveled Tokyo. At the core of the agencys motivation is a raw, all-consuming fear of an unthinkable, monstrous power known only as Akira."", ""Katsuhiro Otomos stunning science fiction masterpiece is considered by many to be the finest work of graphic fiction ever produced, and Otomos brilliant animated film version is regarded worldwide as a classic."", This edition includes a new foreword from the author and a postscript from Dark Horse publisher Mike Richardson!",Katsuhiro Otomo,,,1714.0,Author,"Paperback – Illustrated, 15 May 2016",,Akira 1,Manga,https://www.amazon.com.au//Akira-1-Katsuhiro-Otomo/dp/1935429000/ref=sr_1_46?qid=1690094880&s=books&sr=1-46
"An action-packed thriller and source of the hit Netflix drama where the only way to survive is to play the game!, Eighteen-year-old Ryohei Arisu is sick of his life. School sucks, his love life is a joke, and his future\xa0weighs on him\xa0like impending doom. As he struggles to exist in a world that can’t be bothered with him, Ryohei feels like everything would be better if he were anywhere else. When a strange fireworks show transports him and his friends to a parallel world, Ryohei thinks all his wishes have come true. But this new world isn’t an empty paradise, it’s a vicious game. And the only way to survive is to play., The battle against the King of Clubs continues as Arisu and his team struggle to make up for their shocking point deficit. But no matter what strategy they try, the king and his compatriots maintain the upper hand. When each move is a matter of life or death and no victory comes without sacrifice, can Arisu and his team bear another loss to secure the win?",Haro Aso,,22.49,18.0,Author,Paperback – 30 August 2023,,"Alice in Borderland, Vol. 6 (Volume 6)",Action & Adventure,https://www.amazon.com.au//Alice-Borderland-Vol-6/dp/1974728595/ref=sr_1_45?qid=1690094880&s=books&sr=1-45
"Continue your journey outside the walls with the manga that inspired the second half of season 1 of the hit anime Attack on Titan! Includes Vols. 5-8., Continue your journey outside the walls with the manga that inspired the second half of season 1 of the hit anime Attack on Titan! Includes Vols. 5-8. Also includes two EXCLUSIVE sticker sets featuring your favorite characters!, ""After helping the Garrison to victory, retaking Trost District from the Titans, Eren awakens in a prison cell. He may be a hero to the common people, but among the leaders of humanity, fear of Erens mysterious powers threatens his continued survival. Its only the insistence of the tenacious and pragmatic Erwin Smith, leader of the Survey Corps, that wins Eren a chance- Prove himself outside the Walls, and bring the evidence from his family home back from Titan territory, and the rest of the military will let him live. But soon after the Corps passes through the gate, a new and terrible threat appears -- one that Erwin may know more about than hes letting on.""",HAJIME ISAYAMA,,,2285.0,Author,Paperback – 26 June 2018,,Attack on Titan Season 1 Part 2 Manga Box Set,Manga,https://www.amazon.com.au//Attack-Titan-Season-Part-Manga/dp/1632367009/ref=sr_1_42?qid=1690094880&s=books&sr=1-42
"The blockbuster action manga that inspired the epic anime stampedes towards its climax!, The blockbuster action manga that inspired the epic anime stampedes towards its climax!, ADVANCE OF THE TITANS, ""After breaking through a stronghold of old friends and enemies, Zeke hands down his plan for the Eldians to Eren. But what Eren was plotting with his rumbling powers leaves his brother in the dust, betrayed and alone once more. Now, with some help from Ymir, a parade of massive Titans are roused from their centuries-long slumber, breaking free of the Walls to answer their founders call. Where the march leads, only Eren knows...""",HAJIME ISAYAMA,,13.95,3326.0,Author,"Paperback – Illustrated, 3 November 2020",,Attack on Titan 31,Manga,https://www.amazon.com.au//Attack-Titan-31-HAJIME-ISAYAMA/dp/1632369796/ref=sr_1_43?qid=1690094880&s=books&sr=1-43
"Dark, disturbing, and sexy, this sci-fi action manga that inspired the new anime stars a dominating teenage girl searching for a sister who became a monster, and a submissive boy with the strange power to turn into a ragged but powerful beast, with a zipper down his back and a compartment on the inside just big enough to hold a human body., ""Shuichi Kagaya an ordinary high school kid in a boring little town. But when a beautiful classmate is caught in a warehouse fire, he discovers a mysterious power- He can transform into a furry dog with an oversized revolver and a zipper down his back. He saves the girls life, sharing his secret with her. But shes searching for the sister who killed her family, and she doesnt care how degrading it gets- She will use Shuichi to accomplish her mission...""",SUN TAKEDA,,,,Author,Paperback – 24 October 2023,,Gleipnir 13,Manga,https://www.amazon.com.au//Gleipnir-13-Sun-Takeda/dp/1646516966/ref=sr_1_51?qid=1690094881&s=books&sr=1-51
"About the Author Kaiu Shirai debuted in 2015 with Ashley Gate no Yukue on the Shonen Jump+ website. Shirai first worked with Posuka Demizu on the two-shot Poppy no Negai, which was released in February 2016. Posuka Demizu debuted as a manga artist with the 2013 CoroCoro series Oreca Monster Bouken Retsuden. A collection of illustrations, The Art of Posuka Demizu, was released in 2016 by PIE International.",Kaiu Shirai,,11.55,2110.0,"Author,",Paperback – 10 January 2019,,"The Promised Neverland, Volume 7 : Decision",Manga,https://www.amazon.com.au//Promised-Neverland-Vol-7/dp/1974702243/ref=sr_1_38?qid=1690094880&s=books&sr=1-38
"The blockbuster action manga that inspired the epic anime stampedes towards its thrilling conclusion!, FREEDOM...,  , ""Erens titanic Rumbling claims thousands of lives beyond the walls of Paradis, and the boy who once lived in fear of the Titans becomes the worlds most feared man. Determined to stop the destruction wrought by their childhood friend, Armin, Mikasa, and their surviving comrades reach the Attack Titan and decide to face him head on in an ultimate showdown. Will humanity ﬁnally be set free from the cycle of fear, oppression, and destruction, or will the Titans outlive their victims?"",  , FINAL VOLUME!",HAJIME ISAYAMA,,12.81,3086.0,Author,Paperback – 16 November 2021,,Attack on Titan 34,Manga,https://www.amazon.com.au//Attack-Titan-34-Hajime-Isayama/dp/1646512367/ref=sr_1_49?qid=1690094881&s=books&sr=1-49
"An action-packed thriller and source of the hit Netflix drama where the only way to survive is to play the game!, Eighteen-year-old Ryohei Arisu is sick of his life. School sucks, his love life is a joke, and his future\xa0weighs on him\xa0like impending doom. As he struggles to exist in a world that can’t be bothered with him, Ryohei feels like everything would be better if he were anywhere else. When a strange fireworks show transports him and his friends to a parallel world, Ryohei thinks all his wishes have come true. But this new world isn’t an empty paradise, it’s a vicious game. And the only way to survive is to play., The Beach has turned into a killing ground as Aguni and his men use the witch-hunt game as an excuse to take out everyone in sight. Arisu and his friends must race to understand the logic behind the game and identify the real witch before they join the growing pile of Aguni’s victims!",Haro Aso,,23.09,168.0,Author,Paperback – 22 March 2023,,"Alice in Borderland, Vol. 4 (Volume 4)",Manga,https://www.amazon.com.au//Alice-Borderland-Vol-4/dp/1974728579/ref=sr_1_41?qid=1690094880&s=books&sr=1-41
"FREE TO FACE THE TRUTH Kuklo had spent his entire life in cages, feared and hated as ""the Titan\s son."" Then he met Sharle Inocencio, a young girl who defied her father and brother to care for and educate the abused boy in secret - and plot his escape from the dungeon, and her escape from her betrothal. But the night they\ve dreamed of brings new horrors with it, and Kuklo becomes obsessed with proving that he is not the monster everyone has always assumed him to be. That means meeting a Titan for himself, in person...!",Hajime Isayama,,17.7,408.0,"Author,",Kindle & comiXology,,Attack on Titan: Before the Fall Vol. 2,Comics & Graphic Novels,https://www.amazon.com.au//Attack-Titan-Before-Fall-Vol-ebook/dp/B00LFPWHAK/ref=sr_1_36?qid=1690094880&s=books&sr=1-36
"""The cyber-martial arts saga that has spanned a solar system and over two decades in print returns, with creator Yukito Kishiros new sequel that reveals the true story of Alitas childhood on Mars, and the mind-bending adventures that still await her..."", ""The cyber-martial arts saga that has spanned a solar system and over two decades in print returns, with creator Yukito Kishiros new sequel that reveals the true story of Alitas childhood on Mars, and the mind-bending adventures that still await her..."", THE BIRTH OF A VILLAIN, ""In a time before Alitas birth, a fresh-faced and ambitious man once believed in humanity, and for that crime, he suffered unbelievable agony, shame, and betrayal. His once-youthful visage became a wretched mask, and his dreams became plans to wreak terror upon mankind. This man is known as Baron Muster, and you will now witness his journey into the darkest depths of despair...""",Yukito Kishiro,,17.97,171.0,Author,Paperback – 18 December 2018,,Battle Angel Alita Mars Chronicle 5,Literature & Fiction,https://www.amazon.com.au//Battle-Angel-Alita-Mars-Chronicle/dp/1632366584/ref=sr_1_37?qid=1690094880&s=books&sr=1-37
"""Its never been easier to attack "", Attack on Titan, "" than with these new, giant-sized 3-in-1 omnibus editions! If youve been waiting for the final anime season to check out the do-or-die shonen adventure that defined a decade, nows your chance. These new books tuck almost 600 pages of manga behind a specially-embossed cover, all in a larger size than the regular version."",  , Includes Vol. 22-24 of , Attack on Titan, ., ""Despite losing countless lives in the battle against the Titans, whats left of the Survey Corps arrives at the doorstep of Erens family home. There, in the basement, they find three notebooks that explain at last the origins of their walled world. In the notebooks, Erens father recounts a strange childhood and an even darker history- Eighteen centuries ago, one woman obtained the power of the Titans, provoking a racial conflict that ripped humanity apart. The Survey Corps realizes that they have been fumbling around in the dark...but what will they do now that they know the horrific truth?""",HAJIME ISAYAMA,,,48.0,Author,Paperback – 28 February 2023,,Attack on Titan Omnibus 8 (Vol. 22-24),Manga,https://www.amazon.com.au//Attack-Titan-Omnibus-Vol-22-24/dp/1646514890/ref=sr_1_44?qid=1690094880&s=books&sr=1-44
"A post-apocalyptic story of survival in a surreal prison built in the ruins of Tokyo., Framed for the brutal murders of his classmates by the mysterious Red Man, middle school student Ganta Igarashi finds himself sentenced to death and sent to the bizarre and fatal theme park/prison that has risen from the ruins of the Great Tokyo Earthquake—a hell on earth known as “Deadman Wonderland.”, The residents of G Ward band together to confront Warden Tamaki’s Ninben, man-made Deadmen created through horrific human experimentation. Ganta’s friend Azami has been turned into one of the Ninben during a publicly viewed Carnival Corpse show and lost her mind. Ganta will do all he can to save her, but at what cost? And if things weren’t bad enough already, Ganta’s friends desert him as a traitor!",Jinsei Kataoka,,11.55,431.0,"Author,",Paperback – 10 February 2015,,"Deadman Wonderland, Vol. 7 (Volume 7)",Manga,https://www.amazon.com.au//Deadman-Wonderland-Vol-Jinsei-Kataoka/dp/1421564157/ref=sr_1_55?qid=1690094881&s=books&sr=1-55
"In a frozen dystopia where inhabitants eat flesh to survive, can the destructive powers of fire bring salvation?, In the not-too-distant past, the Ice Witch blankets the world in snow, starvation, and madness, leading the inhabitants to seek their salvation in fire. With that, an unusual destiny unfolds for two young orphans, Agni and Luna, blessed with the ability to regenerate. But will this ability prove to be more of a curse than a blessing?, After painful words are unleashed and Togata’s secret is finally exposed, the revelations leave Agni shaken. Knowing he must face his destiny, Agni seeks out the man at the root of all of his suffering!",Tatsuki Fujimoto,,16.25,616.0,Author,Paperback – 10 February 2019,,"Fire Punch, Vol. 5 (Volume 5)",Manga,https://www.amazon.com.au//Fire-Punch-Vol-Tatsuki-Fujimoto/dp/1421599449/ref=sr_1_39?qid=1690094880&s=books&sr=1-39
,Masakazu Ishiguro,,22.63,71.0,Author,"Paperback – Illustrated, 31 December 2019",,"Heavenly Delusion, Volume 1: Tengoku Daimakyo",Manga,https://www.amazon.com.au//Heavenly-Delusion-1-Masakazu-Ishiguro/dp/1634429400/ref=sr_1_35?qid=1690094880&s=books&sr=1-35
"An action-packed thriller and source of the hit Netflix drama where the only way to survive is to play the game!, Eighteen-year-old Ryohei Arisu is sick of his life. School sucks, his love life is a joke, and his future\xa0weighs on him\xa0like impending doom. As he struggles to exist in a world that can’t be bothered with him, Ryohei feels like everything would be better if he were anywhere else. When a strange fireworks show transports him and his friends to a parallel world, Ryohei thinks all his wishes have come true. But this new world isn’t an empty paradise, it’s a vicious game. And the only way to survive is to play., Aguni now has control of the Beach, and one of his first actions as king is to lock Ryohei in a room on one of the empty floors of the hotel to die of an expired visa. But Ryohei gets an unexpected stay of execution when the Beach becomes the arena for a brutal game of Hearts! Can he survive a witch hunt and get his visa extended, or has he just traded one terrible death for another?",Haro Aso,,23.09,225.0,Author,Paperback – 30 November 2022,,"Alice in Borderland, Vol. 3 (Volume 3)",Manga,https://www.amazon.com.au//Alice-Borderland-Vol-3/dp/1974728560/ref=sr_1_33?qid=1690094880&s=books&sr=1-33
"HUMANITY PUSHES BACK!, "" The Survey Corps develop a risky gambit-have Eren in Titan form attempt to repair Wall Rose, reclaiming human territory from the monsters for the first time in a century. But Titan-Erens self-control is far from perfect, and when he goes on a rampage, not even Armin can stop him! With the survival of humanity on his massive shoulders, will Eren be able to return to his senses, or will he lose himself forever?"", The megahit , Attack on Titan,  anime finally returns, streaming on April 1!",HAJIME ISAYAMA,,16.95,3485.0,Author,"Paperback – Illustrated, 15 April 2013",,Attack on Titan 4: 04,Literature & Fiction,https://www.amazon.com.au//Attack-Titan-4-Hajime-Isayama/dp/1612622534/ref=sr_1_58?qid=1690094881&s=books&sr=1-58
"The children of the Grace Field House orphanage must escape a macabre fate before it’s too late., Life at Grace Field House is good for Emma and her fellow orphans. While the daily studying and exams they have to take are tough, their loving caretaker provides them with delicious food and plenty of playtime. But perhaps not everything is as it seems… , With their guide working against them, Emma and Ray find themselves surrounded by deadly demons in an unfamiliar forest. They’ll have to learn how to fight quickly to have any hope of surviving and making their way to Goldy Pond. But what awaits them there…?",Kaiu Shirai,,11.55,2040.0,"Author,",Paperback – 10 March 2019,,"The Promised Neverland, Vol. 8 (Volume 8): The Forbidden Game",Manga,https://www.amazon.com.au//Promised-Neverland-Vol-8/dp/1974702294/ref=sr_1_34?qid=1690094880&s=books&sr=1-34
"The children of the Grace Field House orphanage must escape a macabre fate before it’s too late., Life at Grace Field House is good for Emma and her fellow orphans. While the daily studying and exams they have to take are tough, their loving caretaker provides them with delicious food and plenty of playtime. But perhaps not everything is as it seems… , In order to escape the orphanage where they are being raised as food for demons, Emma, Norman and Ray begin recruiting allies. But convincing the other children to believe them may not be an easy task.",Kaiu Shirai,,11.55,2935.0,"Author,",Paperback – 10 May 2018,,"The Promised Neverland, (Volume 3): Destroy",Manga,https://www.amazon.com.au//Promised-Neverland-Vol-3/dp/1421597144/ref=sr_1_52?qid=1690094881&s=books&sr=1-52
"Tsutomu Nihei takes Wolverine to a desolate\xa0new dimension in , Wolverine: Snikt!, ""Tsutomu Niheis\xa0classic\xa0graphic novel "", Wolverine: Snikt!,  is back in a brand new deluxe edition, with behind the scenes material and a beautiful art gallery!, WOLVERINE is the lone hope of the last remaining humans in a ruined dimension as they fight to survive against robotic organisms. Will he manage to save the day and keep his own humanity, or will he lose himself to the berserker rage deep inside him?,  , In this deluxe edition of , Wolverine: Snikt!, , Nihei’s original story is bookended by an introduction Nick Dragotta , Fantastic Four, , , East of West,  and an art gallery collecting both behind-the-scenes art and more!",Tsutomu Nihei,,22.49,24.0,Author,Paperback – 20 September 2023,,Wolverine: Snikt!,Manga,https://www.amazon.com.au//Wolverine-Snikt-Tsutomu-Nihei/dp/1974738531/ref=sr_1_59?qid=1690094881&s=books&sr=1-59
"Dive feet-first into the world of devil-fighting firefighters with this 3-in-1 omnibus edition of the hit manga from the creator of , Soul Eater, ! Blaze past the anime, 600 large-sized pages at a time., Includes Vol. 4-6 of the , Fire Force,  manga., During his infiltration of Company 1, Shinra discovered that someone is using bugs to turn people into Infernals. He must identify the true culprit and separate friend from foe if Company 8 is to make any progress in their mission to uncover the truth of spontaneous human combustion. But complications arise when more hidden enemies come to light, and though the Fire Force should be united, each Company is pursuing their own agenda. Worse, the brother he thought long dead might be mixed up in it all somehow!",Atsushi Ohkubo,,,20.0,Author,Paperback – 9 May 2023,,Fire Force Omnibus 2 (Vol. 4-6),Manga,https://www.amazon.com.au//Fire-Force-Omnibus-Vol-4-6/dp/164651548X/ref=sr_1_162?qid=1690094898&s=books&sr=1-162
"""ERWINS GREATEST GAMBLE Commander Erwin has finally come to a decision: Putting their own wealth and position ahead of the survival of humanity, the royal government is no longer fit to lead. To execute their leaders most audacious plan yet, Eren and Krista will have to put themselves in peril yet again, and Armin, Mikasa, and the rest of the Survey Corps will have to turn from humanitys guardians into traitors. If they fail this time, theyll face not a Titans gaping mouth, but the gallows...""",Hajime Isayama,,17.7,1197.0,"Author, Artist",Kindle & comiXology,,Attack on Titan Vol. 14,Comics & Graphic Novels,https://www.amazon.com.au//Attack-Titan-Vol-Hajime-Isayama-ebook/dp/B00OU0YYKS/ref=sr_1_47?qid=1690094880&s=books&sr=1-47
"BIRTH OF A MONSTER,  , "" The Colossal Titan has breached humanitys first line of defense, Wall Maria. Mikasa, the 104th Training Corps ace and Erens best friend, may be the only one capable of defeating them, but beneath her calm exterior lurks a dark past. When all looks lost, a new Titan appears and begins to slaughter its fellow Titans. Could this new monster be a blessing in disguise, or is the truth something much more sinister?"", This volume of Attack on Titan includes special extras after the story!, The megahit, Attack on Titan, anime finally returns, streaming on April 1!",HAJIME ISAYAMA,,16.34,5240.0,Author,"Paperback – Illustrated, 15 September 2012",,Attack on Titan 2,Literature & Fiction,https://www.amazon.com.au//Attack-Titan-2-Hajime-Isayama/dp/1612620256/ref=sr_1_98?qid=1690094918&s=books&sr=1-98
"The children of the Grace Field House orphanage must escape a macabre fate before it’s too late., Life at Grace Field House had been good for Emma and her fellow orphans. While the daily studying and exams they had to take were tough, their loving caretaker provided them with delicious food and plenty of playtime. But when they discover the horrifying truth about why they are being kept at the orphanage, their lives change forever…, Back at Grace Field House, Emma faces Peter with the future of the demon world hanging in the balance. Meanwhile, something unexpected is happening in the demon capital. Can the children finally escape to the human world? And what fate awaits Emma at the end of her long journey?",Kaiu Shirai,,11.55,809.0,"Author,",Paperback – 1 September 2021,,"The Promised Neverland, Vol. 20 (Volume 20)",Manga,https://www.amazon.com.au//Promised-Neverland-Vol-20/dp/1974721868/ref=sr_1_166?qid=1690094898&s=books&sr=1-166
"In this postapocalyptic fantasy, a sea of sand swallows everything but the past., In an endless sea of sand drifts the Mud Whale, a floating island city of clay and magic. In its chambers a small community clings to survival, cut off from its own history by the shadows of the past., The people of the Mud Whale and Kivotós are all that stand between the world and certain destruction. But even with their combined strengths, are they enough to stop a monster driven by madness and caprice★ Or will they all drwon in the crashing waves of a Kataklysmós unleashed★",Abi Umeda,,14.24,,Author,Paperback – 15 November 2023,,"Children of the Whales, Vol. 22 (Volume 22)",Manga,https://www.amazon.com.au//Children-Whales-Vol-22/dp/1974738868/ref=sr_1_161?qid=1690094898&s=books&sr=1-161
"About the Author Kaiu Shirai debuted in 2015 with Ashley Gate no Yukue on the Shonen Jump+ website Shirai first worked with Posuka Demizu on the two-shot Poppy no Negai, which was released in February 2016 Posuka Demizu debuted as a manga artist with the 2013 CoroCoro series Oreca Monster Bouken Retsuden A collection of illustrations, The Art of Posuka Demizu, was released in 2016 by PIE International",Kaiu Shirai,,11.55,3877.0,"Author,","Paperback – Illustrated, 10 March 2018",,The Promised Neverland Vol. 2 Control: Volume 2,Manga,https://www.amazon.com.au//Promised-Neverland-Vol-2/dp/1421597136/ref=sr_1_40?qid=1690094880&s=books&sr=1-40
"It’s just an everyday apocalypse., Three years ago the aliens invaded Tokyo., Nothing was ever the same again., But after a while, even impending doom starts to feel ordinary.\xa0, The Japan Self-Defense Forces are still looking for a way to combat the alien threat, but so far conventional weapons have had no effect. Maybe it’s time to try something unconventional., Meanwhile, Kadode Koyama and her best friend avidly track the aliens’ movements on social media and less enthusiastically study for college entrance exams. When the end of the world looms overhead, you learn to take things one step at a time.",Inio Asano,,17.7,378.0,Author,"Paperback – Illustrated, 10 May 2018",,"Dead Dead Demon's Dededede Destruction, Vol. 1 (Volume 1)",Manga,https://www.amazon.com.au//Dead-Demons-Dededede-Destruction-Vol/dp/142159935X/ref=sr_1_165?qid=1690094898&s=books&sr=1-165
"THE CHASE IS ON! Erwin and the Survey Corps desperately mount a rescue operation to take Eren back from the Colossus Titan and Armored Titan. But without the numbers to form up properly outside the walls, how can the humans catch up before they\re all slaughtered? Just whose side is Ymir on? And will Eren ever see his friends again? PRAISE FOR THE HIT ANIME ""A visceral and fantastically intense action/horror story."" - Anime News Network ? ""Japan\s equivalent of The Walking Dead."" - io9",Hajime Isayama,,14.73,1441.0,"Author, Artist",Kindle & comiXology,,Attack on Titan Vol. 12,Comics & Graphic Novels,https://www.amazon.com.au//Attack-Titan-Vol-Hajime-Isayama-ebook/dp/B00J0EU8PO/ref=sr_1_104?qid=1690094918&s=books&sr=1-104
"An action-packed thriller and source of the hit Netflix drama where the only way to survive is to play the game!, Eighteen-year-old Ryohei Arisu is sick of his life. School sucks, his love life is a joke, and his future feels like impending doom. As he struggles to exist in a world that can’t be bothered with him, Ryohei feels like everything would be better if he were anywhere else. When a strange fireworks show transports him and his friends to a parallel world, Ryohei thinks all his wishes have come true. But this new world isn’t an empty paradise, it’s a vicious game. And the only way to survive is to play., The first game starts with a bang, but Ryohei manages to beat the clock and save his friends. It’s a short-lived victory, however, as they discover that winning only earns them a few days’ grace period. If they want to get home, they’re going to have to start playing a lot harder.",Haro Aso,,23.09,568.0,Author,Paperback – 18 May 2022,,"Alice in Borderland, Vol. 1 (Volume 1)",Manga,https://www.amazon.com.au//Alice-Borderland-Vol-1/dp/1974728374/ref=sr_1_101?qid=1690094918&s=books&sr=1-101
"Dark, disturbing, sexy, and shameful, this new sci-fi action manga stars a dominating teenage girl searching for a sister who became a monster, and a submissive boy with the strange power to turn into a ragged but powerful beast, with a zipper down his back and a compartment on the inside just big enough to hold a human body., TWISTED TRUTH, ""With the revelation of Shuichis lost memories comes the identity of their true enemy, Kaito, and the shocking truth behind the events that began the bloodshed. Claire and Shuichi are closer than ever to confronting Kaito, but first they have to face his minions, who promise that death at their hands is a far kinder fate than meeting Kaito could ever be. Regardless of the outcome, one thing is clear- The killing is far from over...""",SUN TAKEDA,,17.7,387.0,Author,Paperback – 29 September 2020,,Gleipnir 6,Manga,https://www.amazon.com.au//Gleipnir-6-Sun-Takeda/dp/1632369095/ref=sr_1_225?qid=1690094924&s=books&sr=1-225
"THE EPIC SHOWDOWN BETWEEN RIKA AND SNIPER...,  Is about to begin!",Tsuina Miura,,,62.0,Author,Paperback – 30 March 2021,,High-Rise Invasion Omnibus 17-18: 9,Manga,https://www.amazon.com.au//High-Rise-Invasion-17-18-Tsuina-Miura/dp/1645059901/ref=sr_1_274?qid=1690094971&s=books&sr=1-274
